Num,Setting,P,Q,R,F
4,A,0.3817423055039665,0.8564928934239971,0.44157808505292234,0.5238398225443927
4,B,0.3865339392869823,0.8307324073592274,0.4672847133751364,0.5280519803089057
4,C,0.3649554960556524,0.8542974243071257,0.4255169538481225,0.505226704707647
4,D,0.3994108932650618,0.8475172018026538,0.45452218116729,0.5466940786564023
4,E,0.3931768139355137,0.8462185674213094,0.465672678088784,0.5307129732961422
5,A,0.4192713920166809,0.9447865881203734,0.4362895097757265,0.5715445476708007
5,B,0.42998663477648824,0.9188608538962504,0.45881215055604196,0.5847579892524745
5,C,0.43620860851198295,0.9358098069778902,0.4579370898014478,0.5887174135041287
5,D,0.4343336223190781,0.9356736376351542,0.4522913887343042,0.5943656764791828
5,E,0.41358702942863346,0.9311439681915737,0.43745092740772634,0.5654422492554544
6,A,0.3792826074145242,0.98385067084666,0.38366768619483704,0.5278584817247032
6,B,0.3677625411686259,0.965782022710859,0.3774669896919423,0.5208462166769512
6,C,0.4062615747911552,0.9746119484720361,0.4138258729001491,0.5608804312279353
6,D,0.4110969624516497,0.9808940954725225,0.4156713379496122,0.5781342854304196
6,E,0.4078452567795464,0.9778199430363956,0.4143231375543055,0.562765584700447
7,A,0.4426171459643713,0.9953960113493107,0.4438896614690285,0.6056961087214879
7,B,0.43230820963937583,0.9888019078482136,0.4356855414954411,0.5966910260231509
7,C,0.4186870359042022,0.989741706856621,0.4215577020432063,0.5820683879922677
7,D,0.4362082747484078,0.9943805683657372,0.43759405356224357,0.6055714030318559
7,E,0.45687356569126475,0.99407559014147,0.4588226558590625,0.6198852598022847
8,A,0.4450438007424832,0.9994665691549299,0.4452176097815436,0.6060968573227001
8,B,0.4378851352079217,0.9935446128320664,0.44018548951595826,0.6004976361840556
8,C,0.421421430138491,0.9953263234452436,0.4228817791725679,0.5838914090849867
8,D,0.4598525497239833,0.9983252775908745,0.4602932264063498,0.6289100807151852
8,E,0.4992366828554775,0.9980253741360955,0.5000594961889833,0.6582066232512305
