Num,Setting,P,Q,R,F,Euclidean_ave,Euclidean_std
4,A,0.43665522098089493,0.6789598126971336,0.6012074466240455,0.5657781178706511,0.07274186575242803,0.027488806205737622
4,B,0.46521255371001347,0.6710582335136992,0.646361393261586,0.5926598345926283,0.06745233812982733,0.02460581996450867
4,C,0.4199775346309475,0.6902186583875519,0.5791615171554562,0.5516998326043739,0.07472150327277054,0.028940474404279663
4,D,0.46817957928475684,0.6733052903466823,0.6294728444711718,0.5974019248835023,0.06995393296841118,0.02575440119297096
4,E,0.46651477128795305,0.6845755687049868,0.6467392946318996,0.5932548806369904,0.06818843610997158,0.02570933424110897
5,A,0.4829828502176362,0.7853071932077511,0.6065866758549198,0.6226023983228821,0.07727960806287851,0.02702380048009962
5,B,0.569262943567032,0.774403885810624,0.7062094281838145,0.7026015778525343,0.06048006683302996,0.023222559034153316
5,C,0.5026169239821318,0.7782614358920661,0.6309684814714163,0.6425273411785599,0.07862399801901025,0.02791306107264776
5,D,0.5421788486347887,0.7778448475933448,0.6735164624352544,0.6802476519194044,0.06682691608540961,0.024985546901505545
5,E,0.5341738957804062,0.7772815781458993,0.6672189629911598,0.6690127923704463,0.061079737778611205,0.02335453460521394
6,A,0.5047680248974872,0.8104329118724881,0.6164958073145185,0.6395962070567145,0.06858887874643027,0.02148559678755463
6,B,0.5550426187544768,0.8106470003742962,0.673322899919001,0.692548157389815,0.05730175979904364,0.020362990535613426
6,C,0.5408736080070652,0.8132967283192981,0.6589562295517455,0.6794753465850256,0.06896480863953465,0.02275008909663565
6,D,0.5751628656007832,0.8084930508348238,0.6983797318931951,0.711019618815826,0.06461166821789252,0.021326087504109255
6,E,0.5514879679701463,0.8067704792663252,0.6716904533679041,0.6875811366342708,0.06721494933506696,0.021083249081814515
7,A,0.576255231025774,0.8274603451626299,0.6913945228424543,0.7113343018697165,0.0719874825919624,0.01993917004684492
7,B,0.5958198455836882,0.8273384431558326,0.7097640252520762,0.7305518678439787,0.066584683896128,0.019130126303533244
7,C,0.5815608633238734,0.8270646291883607,0.6988424221112842,0.718289829908693,0.06484057396142626,0.018247535988146282
7,D,0.593742468587036,0.8316824335428631,0.707446850512446,0.7294872229355445,0.06755544485196094,0.01911031455606559
7,E,0.5911254521087059,0.8261437588258286,0.706347820853764,0.7251725721468503,0.07208282743136916,0.020636132793915046
8,A,0.5788427794775245,0.8433526986291631,0.6831503334388862,0.7144721327007739,0.07372319193080441,0.019207287934401615
8,B,0.6145201572514299,0.8500974074942763,0.7154926568897287,0.7471478531111333,0.06403676577385456,0.017766833392666048
8,C,0.5811399371415811,0.8489855663258964,0.6821605522273203,0.7189955304315151,0.0668412044700502,0.017778290911809883
8,D,0.615839410682822,0.8463622281109561,0.7205080368094156,0.7477801993990825,0.06877641968853192,0.01954900554968581
8,E,0.6192622460904631,0.8439218059684342,0.727992072692779,0.7490615527056798,0.07538768945441611,0.02038580447449358
